id,name,created_at,updated_at
1,The Beatles,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
2,The Beach Boys,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
3,Bob Dylan,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
4,Marvin Gaye,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
5,The Rolling Stones,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
6,The Clash,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
7,Elvis Presley,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
8,Miles Davis,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
9,The Velvet Underground,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
10,The Jimi Hendrix Experience,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
11,Nirvana,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
12,Bruce Springsteen,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
13,Van Morrison,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
14,Michael Jackson,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
15,Chuck Berry,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
16,Robert Johnson,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
17,John Lennon / Plastic Ono Band,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
18,Stevie Wonder,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
19,James Brown,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
20,Fleetwood Mac,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
21,U2,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
22,The Who,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
23,Led Zeppelin,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
24,Joni Mitchell,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
25,Ramones,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
26,The Band,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
27,David Bowie,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
28,Carole King,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
29,Eagles,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
30,Love,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
31,Sex Pistols,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
32,The Doors,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
33,Pink Floyd,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
34,Patti Smith,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
35,Bob Marley & The Wailers,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
36,John Coltrane,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
37,Public Enemy,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
38,The Allman Brothers Band,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
39,Little Richard,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
40,Simon & Garfunkel,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
41,Ray Charles,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
42,Creedence Clearwater Revival,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
43,Captain Beefheart & His Magic Band,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
44,Guns N' Roses,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
45,Billy Joel,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
46,Paul Simon,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
47,Curtis Mayfield,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
48,Neil Young,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
49,Prince and the Revolution,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
50,AC/DC,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
51,Otis Redding,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
52,John Lennon,2017-11-09 00:23:01 UTC,2017-11-09 00:23:01 UTC
53,Aretha Franklin,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
54,Johnny Cash,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
55,Dusty Springfield,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
56,Elton John,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
57,Buddy Holly,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
58,Prince,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
59,Hank Williams,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
60,Elvis Costello,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
61,Sly & The Family Stone,2017-11-09 00:23:02 UTC,2017-11-09 00:23:02 UTC
